Food Industry,Nile Fish Shop,091-303-0485,091-303-0485,Addis Ababa,,,,,
Food Industry,Nigatu G/silassie,011-275-4825,099-275-4825,Addis Ababa,,,,,
Food Industry,NORISH BUSINESS PLC,011-434-0730,092-060-9732,Addis Ababa,,,,,
Food Industry,ahimed food store,091-370-3663,091-370-3663,Addis Ababa,,,,,
Food Industry,ahiwan food complex,011-157-2066,091-115-7206,Addis Ababa,,,,,
Food Industry,ALEM PASTRY,011-279-9405,091-167-9808,Addis Ababa,,,,,
Food Industry,Allana Group Frigorfico Boran Foods,093-871-7171,093-871-7171,Addis Ababa,,,,,
Food Industry,ALEX PLC,011-419-2626,011-419-2626,Addis Ababa,,,,,
Food Industry,Al Bruk plc,092-257-6200,092-257-6200,Addis Ababa,,,,,
Food Industry,ASETCO FOOD COMPLEX,011-434-3066,091-122-8468,Addis Ababa,,,,,
Food Industry,Astco food complex,011-434-3060,091-146-4870,Addis Ababa,,,,,
Food Industry,askual paulitry farm  plc,092-794-7464,092-794-7464,Addis Ababa,,,,,
Food Industry,Abera Bantina,091-122-3841,091-122-3841,Addis Ababa,,,,,
Food Industry,Abebe & Family Plc,011-466-6609,011-466-6609,Addis Ababa,,,,,
Food Industry,Abbay International PLC,011-439-3555,011-439-3555,Addis Ababa,,,,,
Food Industry,Abaye pasta and macaroni factory,011-465-0405,091-120-8560,Addis Ababa,,,,,
Food Industry,ABDULEKADER (NYALA OIL),011-270-7028,011-270-7437,Addis Ababa,,,,,
Food Industry,Anteneh Shimels,091-166-3810,091-166-3810,Addis Ababa,,,,,
Food Industry,AKEFMO INJERA EXPORTER,092-379-8558,092-379-8558,Addis Ababa,,,,,
Food Industry,Acho Salt Production & General Trading,091-190-7064,091-190-7064,Addis Ababa,,,,,
Food Industry,IHRAK INTRNATIONAL PLC,011-439-3931,011-439-3931,Addis Ababa,,,,,
Food Industry,ADAMA FOOD PROSSING COMPLEX PLC,011-552-9522,011-552-9522,Addis Ababa,,,,,
Food Industry,ADAMA FOOD PROCESSING COMPLEX PLC,011-112-5213,091-123-0093,Addis Ababa,,,,,
Food Industry,Admas & Bruke Food Preparation,092-066-1222,092-066-1222,Addis Ababa,,,,,
Food Industry,AGAPE ENGINEERING PLC,092-440-2561,092-440-2561,Addis Ababa,,,,,
Food Industry,atnafe butcher,091-125-3401,091-125-3401,Addis Ababa,,,,,
Food Industry,Umer Musa Mohamedin,011-156-1060,091-123-4278,Addis Ababa,,,,,
Food Industry,ET - TEFF,011-439-1500,011-439-1500,Addis Ababa,,,,,
Food Industry,En-rich Agro Industry,011-895-9895,011-895-9895,Addis Ababa,,,,,
Food Industry,ENRICHED FOOD PLC,011-667-9042,011-667-9006,Addis Ababa,,,,,
Food Industry,EFTEN TRADING ENTERPRISE,011-550-5935,011-550-5935,Addis Ababa,,,,,
Food Industry,ELSA KOLO PLC,011-277-8777,091-115-4688,Addis Ababa,,,,,
Food Industry,EM.AMOLE TABLE SALT ENTERPRISE,011-652-5582,011-652-5582,Addis Ababa,,,,,
